website,linkedin_name,specialties,linkedin_url
www.t-systems.com,T-Systems International GmbH,data cloud,www.linkedin.com/company/1592
www.tylercapital.co.uk,Tyler Capital,technology,www.linkedin.com/company/124341
http://www.typsa.com,TYPSA,technology,www.linkedin.com/company/31750
http://www.ueni.com,UENI Ltd,technology,www.linkedin.com/company/10143742
www.ultralets.co.uk,Ultra lets,investment,www.linkedin.com/company/5374154
www.mdcvacuum.com,"MDC Vacuum Products, LLC",technology,www.linkedin.com/company/145585
www.act-currency.ch,Union Bancaire Privée,investment,www.linkedin.com/company/351829
www.unit9.com,UNIT9,technology,www.linkedin.com/company/38347
www.upfrontbd.com,Upfront Business Development,data,www.linkedin.com/company/235750
www.ustrust.com,U.S. Trust,investment,www.linkedin.com/company/166723
www.vable.com,Vable,software cloud,www.linkedin.com/company/15174277
http://www.vce.com,VCE,cloud,www.linkedin.com/company/1581903
http://www.global-m.co.uk,Global {M},software,www.linkedin.com/company/2606373
http://veladorassociates.com,Velador Associates,data,www.linkedin.com/company/16886207
http://www.velocity.black,Velocity Mobile Ltd,technology,www.linkedin.com/company/3735584
https://veracode.com,Veracode,software,www.linkedin.com/company/27845
www.argusinformation.com,Argus Information and Advisory Services,data,www.linkedin.com/company/54453
www.veritasinvestments.me,Veritas Investments,investment,www.linkedin.com/company/514603
https://www.factset.com/,"Vermilion Software, a FactSet Company",software,www.linkedin.com/company/123709
www.vervepros.com,"VERVE Professional Services, Inc.",technology,www.linkedin.com/company/1002791
www.clarityinternational.com,Clarity International,technology,www.linkedin.com/company/273097
www.virtualtechgurus.com,"Virtual Tech Gurus, Inc.",data cloud,www.linkedin.com/company/256091
visagio.com,Visagio,technology,www.linkedin.com/company/123824
www.vitechltd.co.uk,Vitech Limited,software data,www.linkedin.com/company/2393618
vivaldigroup.com,VIVALDI_,data,www.linkedin.com/company/166825
www.vivoinspire.com,Vivo Inspire,technology,www.linkedin.com/company/2208406
http://vmfarms.com,VM Farms,cloud,www.linkedin.com/company/1455162
